Id	FNum	FFNum	FFNumAVG	FFNLTFN	FFNGTFN	FFNEFN
633	24	624	26.0	11	11	0
2521	21	895	42.61904761904762	6	15	0
2541	3	40	13.333333333333334	0	2	1
1637	29	1064	36.689655172413794	6	19	0
2397	27	2144	79.4074074074074	7	17	0
2564	5	205	41.0	0	5	0
2398	30	1886	62.86666666666667	6	21	1
233	19	817	43.0	5	13	0
2594	6	61	10.166666666666666	1	3	0
2599	3	21	7.0	0	2	0
2601	2	26	13.0	1	1	0
1638	19	1349	71.0	3	13	0
2611	20	1511	75.55	3	16	0
234	25	870	34.8	7	14	0
235	20	2107	105.35	1	16	0
1172	8	73	9.125	6	2	0
2629	7	187	26.714285714285715	1	5	1
1199	16	525	32.8125	5	7	1
2600	5	150	30.0	1	3	0
2645	14	176	12.571428571428571	8	3	1
236	13	526	40.46153846153846	2	11	0
2664	19	1264	66.52631578947368	0	15	0
62	2	24	12.0	0	2	0
2684	4	30	7.5	0	4	0
74	46	4301	93.5	14	32	0
2251	10	289	28.9	1	9	0
2392	16	499	31.1875	5	9	0
2731	8	276	34.5	0	6	0
2722	17	962	56.588235294117645	3	13	0
237	83	5391	64.95180722891567	60	18	0
2122	28	1164	41.57142857142857	12	14	0
2754	12	323	26.916666666666668	4	7	0
2821	6	159	26.5	0	6	0
2825	4	57	14.25	0	4	0
39	42	1660	39.523809523809526	27	10	0
2613	56	4371	78.05357142857143	25	29	0
2881	6	201	33.5	0	5	0
2888	1	10	10.0	0	1	0
1223	33	2060	62.42424242424242	6	24	0
1224	27	1223	45.2962962962963	7	16	2
2636	15	302	20.133333333333333	8	6	1
476	76	5179	68.14473684210526	45	26	0
2905	15	584	38.93333333333333	2	11	2
2899	8	152	19.0	3	4	0
4	10	253	25.3	3	6	0
2822	37	2086	56.37837837837838	16	18	1
477	126	7957	63.15079365079365	107	9	0
3056	3	83	27.666666666666668	0	3	0
1410	28	2171	77.53571428571429	2	19	0
2826	9	118	13.11111111111111	3	5	1
1173	71	3350	47.183098591549296	43	15	0
2646	4	76	19.0	0	4	0
2988	45	4079	90.64444444444445	7	32	0
1689	29	1798	62.0	17	11	0
3115	19	586	30.842105263157894	1	17	0
3065	12	117	9.75	6	4	0
3120	2	173	86.5	0	2	0
3128	25	1333	53.32	7	15	0
3151	37	1675	45.270270270270274	13	18	1
2270	29	1860	64.13793103448276	1	23	0
2882	65	2350	36.15384615384615	56	6	1
3234	8	85	10.625	1	4	1
1591	33	1871	56.696969696969695	11	20	0
2989	31	1698	54.774193548387096	6	19	0
3269	2	24	12.0	0	2	0
3270	5	60	12.0	1	3	0
1411	15	448	29.866666666666667	5	9	0
167	9	137	15.222222222222221	0	8	0
3283	4	104	26.0	2	2	0
3286	2	77	38.5	0	2	0
3289	11	375	34.09090909090909	1	9	0
3296	24	700	29.166666666666668	11	11	2
2954	7	479	68.42857142857143	0	5	2
3323	4	88	22.0	0	4	0
3327	2	12	6.0	0	2	0
3328	5	77	15.4	1	4	0
3333	19	795	41.8421052631579	8	10	1
3350	5	193	38.6	1	3	1
63	14	614	43.857142857142854	3	8	0
3363	3	210	70.0	0	2	0
513	95	8169	85.98947368421052	56	30	0
3389	6	63	10.5	1	4	0
3396	2	65	32.5	0	2	0
3398	2	1	0.5	1	0	0
2015	34	2937	86.38235294117646	5	28	0
3408	2	77	38.5	0	2	0
3410	10	1401	140.1	0	10	0
3419	36	2239	62.19444444444444	7	27	0
3450	31	1711	55.193548387096776	5	20	0
3463	69	4277	61.98550724637681	49	18	0
3526	36	1850	51.388888888888886	13	22	0
3557	11	141	12.818181818181818	2	5	1
3568	2	11	5.5	0	2	0
514	35	2605	74.42857142857143	3	27	0
2565	16	857	53.5625	2	14	0
3578	1	361	361.0	0	1	0
3580	164	21637	131.9329268292683	103	49	0
3738	6	173	28.833333333333332	0	5	0
238	71	4033	56.80281690140845	53	13	1
3760	11	469	42.63636363636363	3	8	0
660	34	1122	33.0	15	13	0
739	3	61	20.333333333333332	0	3	0
1037	31	1289	41.58064516129032	8	17	2
3783	11	722	65.63636363636364	2	7	1
3790	10	267	26.7	0	8	0
3795	10	495	49.5	0	8	0
1014	12	636	53.0	1	9	0
970	20	547	27.35	7	11	0
168	11	298	27.09090909090909	2	7	1
3801	3	33	11.0	0	3	0
3796	15	870	58.0	2	12	0
1639	37	2152	58.16216216216216	12	21	1
634	31	2160	69.6774193548387	4	21	0
3840	11	325	29.545454545454547	5	5	0
3851	2	122	61.0	0	2	0
3841	6	62	10.333333333333334	0	4	0
455	12	952	79.33333333333333	5	7	0
3861	6	287	47.833333333333336	2	4	0
3842	118	14585	123.60169491525424	70	37	1
3964	1	29	29.0	0	1	0
3966	5	99	19.8	1	3	0
3972	47	3444	73.27659574468085	23	23	0
34	12	178	14.833333333333334	3	6	2
3355	8	299	37.375	1	7	0
4029	18	1310	72.77777777777777	4	13	0
169	12	175	14.583333333333334	5	5	1
4048	7	245	35.0	1	5	1
972	19	351	18.473684210526315	10	7	0
4060	7	665	95.0	1	6	0
4067	6	210	35.0	1	4	0
4055	5	56	11.2	0	4	0
2626	3	105	35.0	0	3	0
973	17	574	33.76470588235294	5	12	0
4076	11	434	39.45454545454545	1	10	0
4045	16	381	23.8125	10	6	0
4097	2	57	28.5	0	2	0
974	16	438	27.375	3	12	0
305	22	557	25.318181818181817	9	12	0
4105	6	138	23.0	1	5	0
4112	4	88	22.0	0	3	0
1260	26	1656	63.69230769230769	5	19	0
2252	15	581	38.733333333333334	1	12	0
2829	40	2821	70.525	15	21	0
375	43	3904	90.79069767441861	2	37	0
3464	42	2437	58.023809523809526	6	28	0
4197	11	212	19.272727272727273	2	7	1
4202	4	46	11.5	0	2	0
4203	2	26	13.0	0	2	0
2961	3	73	24.333333333333332	0	3	0
92	52	4172	80.23076923076923	8	37	0
239	42	2282	54.333333333333336	16	23	0
2123	5	419	83.8	0	5	0
814	51	2168	42.509803921568626	41	7	0
2637	4	80	20.0	0	4	0
240	35	1778	50.8	16	12	1
4235	50	2458	49.16	28	20	0
4266	7	143	20.428571428571427	1	5	0
1349	52	2776	53.38461538461539	28	19	0
4236	23	1735	75.43478260869566	1	19	0
3967	4	98	24.5	0	4	0
4287	44	2958	67.22727272727273	19	21	0
4325	26	1593	61.26923076923077	10	14	0
4342	36	2399	66.63888888888889	12	20	0
4369	28	2492	89.0	0	23	0
4391	1	122	122.0	0	1	0
4393	3	161	53.666666666666664	0	3	0
1200	61	5540	90.81967213114754	19	37	1
4403	7	132	18.857142857142858	0	5	1
4407	12	227	18.916666666666668	2	9	0
4418	7	172	24.571428571428573	3	3	0
4422	25	647	25.88	8	13	0
4444	8	195	24.375	3	4	1
4453	6	630	105.0	0	6	0
35	12	286	23.833333333333332	1	9	0
4445	8	847	105.875	4	3	1
4462	8	156	19.5	2	5	0
4471	17	689	40.529411764705884	3	14	0
4482	14	404	28.857142857142858	6	7	1
4491	15	426	28.4	3	11	0
4133	26	1229	47.26923076923077	10	14	1
4514	7	206	29.428571428571427	1	6	0
1965	9	901	100.11111111111111	2	6	0
2990	43	2927	68.06976744186046	19	19	0
4546	16	695	43.4375	1	13	0
4558	8	258	32.25	1	6	0
678	27	908	33.629629629629626	10	14	0
3324	12	313	26.083333333333332	3	7	1
4515	25	1100	44.0	8	14	1
4472	53	2736	51.62264150943396	30	22	0
170	61	2706	44.36065573770492	44	13	0
4632	5	114	22.8	0	3	1
4559	5	273	54.6	0	5	0
1126	41	1436	35.02439024390244	26	12	0
1278	61	2585	42.377049180327866	40	17	0
4520	30	713	23.766666666666666	22	6	0
2072	74	5744	77.62162162162163	43	22	1
2755	13	365	28.076923076923077	3	10	0
4646	71	3544	49.91549295774648	55	14	0
4589	11	1643	149.36363636363637	1	9	0
4085	54	2338	43.2962962962963	35	13	1
2053	42	2274	54.142857142857146	25	15	1
2507	13	332	25.53846153846154	1	12	0
4521	19	518	27.263157894736842	7	10	1
4647	6	154	25.666666666666668	1	3	0
4675	34	2618	77.0	18	15	0
4648	27	1394	51.629629629629626	8	17	0
1640	79	4026	50.962025316455694	65	9	0
2016	54	3140	58.148148148148145	24	24	0
4134	28	1646	58.785714285714285	8	14	1
4572	36	1547	42.97222222222222	14	15	1
4811	28	1706	60.92857142857143	9	19	0
4562	38	1355	35.6578947368421	21	15	0
4649	72	4230	58.75	48	16	0
4522	25	758	30.32	7	14	2
3103	54	2592	48.0	36	13	1
4862	32	1620	50.625	13	15	0
4956	218	26206	120.21100917431193	166	27	1
2233	25	1901	76.04	9	15	0
4863	16	929	58.0625	1	13	1
4780	33	4939	149.66666666666666	6	24	1
3791	23	1358	59.04347826086956	7	13	0
3152	38	2176	57.26315789473684	8	22	2
4580	18	1465	81.38888888888889	2	15	0
5247	28	1138	40.642857142857146	9	17	1
283	25	1175	47.0	8	14	0
2017	51	2592	50.8235294117647	24	21	1
3129	42	2809	66.88095238095238	20	16	0
4781	22	1082	49.18181818181818	5	16	0
1412	50	3205	64.1	21	28	0
740	66	2727	41.31818181818182	46	12	0
4423	47	2838	60.38297872340426	22	16	1
2399	68	2810	41.3235294117647	46	15	1
2294	179	16620	92.84916201117318	132	25	0
3816	42	2308	54.95238095238095	17	24	0
4492	8	250	31.25	3	5	0
5248	28	2023	72.25	7	16	1
4901	72	3825	53.125	48	16	0
4721	18	659	36.611111111111114	7	9	1
1279	11	301	27.363636363636363	4	6	0
2400	48	3537	73.6875	28	17	0
5612	6	160	26.666666666666668	0	6	0
2723	32	1566	48.9375	10	17	1
4581	36	1248	34.666666666666664	20	13	1
2073	46	2274	49.43478260869565	19	18	1
5292	64	3855	60.234375	45	11	0
4931	14	401	28.642857142857142	1	10	1
2295	16	775	48.4375	5	11	0
5647	14	823	58.785714285714285	3	10	0
242	119	8761	73.6218487394958	98	12	0
2508	38	1175	30.92105263157895	27	8	0
4473	27	1077	39.888888888888886	12	14	0
3780	50	3950	79.0	30	14	0
4851	24	1438	59.916666666666664	5	17	0
2509	32	1674	52.3125	17	11	0
1080	97	7144	73.64948453608247	66	23	0
3745	49	2379	48.55102040816327	29	16	0
4722	19	635	33.421052631578945	3	12	0
4573	28	982	35.07142857142857	12	13	0
4049	36	1599	44.416666666666664	13	20	0
663	42	2112	50.285714285714285	25	14	0
5818	5	111	22.2	0	4	0
550	27	1397	51.74074074074074	13	10	0
5602	4	94	23.5	0	3	0
2440	25	1419	56.76	10	14	0
1148	35	1726	49.31428571428572	13	15	2
4503	45	3355	74.55555555555556	27	14	0
1641	17	438	25.764705882352942	5	10	0
664	9	234	26.0	0	8	0
4834	50	2359	47.18	29	16	0
5249	56	3563	63.625	20	27	1
5533	7	159	22.714285714285715	1	5	0
4590	46	2464	53.56521739130435	22	20	0
4915	29	2656	91.58620689655173	8	19	1
5293	10	404	40.4	0	8	0
5893	11	165	15.0	3	6	0
4612	23	985	42.82608695652174	6	16	0
4676	48	3332	69.41666666666667	23	21	0
4591	110	5056	45.96363636363636	92	9	0
2375	20	744	37.2	7	12	0
4932	6	321	53.5	0	6	0
3817	26	1153	44.34615384615385	3	18	0
4547	48	1805	37.604166666666664	32	11	1
2992	12	495	41.25	0	7	2
4574	12	293	24.416666666666668	1	7	1
4592	26	1851	71.1923076923077	11	14	0
4516	25	1170	46.8	7	17	0
1271	25	1291	51.64	5	17	2
2542	18	605	33.611111111111114	6	11	0
5016	24	3084	128.5	4	17	1
6047	9	369	41.0	0	7	0
4493	28	708	25.285714285714285	15	8	0
4933	15	568	37.86666666666667	2	12	0
4997	28	2273	81.17857142857143	11	17	0
4934	9	232	25.77777777777778	2	7	0
4902	25	711	28.44	9	13	1
4923	18	446	24.77777777777778	9	9	0
2814	33	2723	82.51515151515152	14	15	0
4957	42	2127	50.642857142857146	14	19	1
1201	121	9865	81.52892561983471	97	18	0
243	77	4797	62.298701298701296	58	8	0
6135	10	255	25.5	2	8	0
5737	10	260	26.0	1	8	0
4549	120	8528	71.06666666666666	90	24	0
5863	44	3076	69.9090909090909	20	21	1
4958	27	2821	104.48148148148148	6	17	0
4903	18	651	36.166666666666664	3	11	0
679	13	369	28.384615384615383	4	7	0
1983	62	8179	131.91935483870967	15	41	0
772	8	337	42.125	0	7	0
2510	18	982	54.55555555555556	5	9	1
4575	13	420	32.30769230769231	1	11	0
5231	9	231	25.666666666666668	0	8	0
4723	16	727	45.4375	2	13	0
6076	17	1138	66.94117647058823	5	10	1
5193	5	179	35.8	0	4	0
5018	31	1087	35.064516129032256	14	12	0
4724	33	1567	47.484848484848484	12	17	0
1127	44	2382	54.13636363636363	23	17	0
4593	9	422	46.888888888888886	0	9	0
5330	23	612	26.608695652173914	4	14	1
3130	22	1416	64.36363636363636	4	17	0
171	29	1257	43.3448275862069	12	13	2
5876	6	127	21.166666666666668	0	3	0
991	56	5239	93.55357142857143	31	19	1
1015	46	2180	47.391304347826086	22	20	1
3066	28	859	30.678571428571427	14	11	1
6295	6	266	44.333333333333336	0	6	0
5019	11	387	35.18181818181818	1	8	1
2402	39	2101	53.87179487179487	19	19	0
5605	3	137	45.666666666666664	0	3	0
4904	35	3902	111.48571428571428	13	21	0
4474	22	628	28.545454545454547	4	14	0
284	26	1308	50.30769230769231	5	16	0
4775	25	1572	62.88	7	15	0
4475	41	2370	57.80487804878049	22	17	0
1081	63	2968	47.111111111111114	41	16	0
4527	25	817	32.68	10	13	0
5703	20	678	33.9	4	14	0
6421	3	49	16.333333333333332	0	2	0
1072	23	462	20.08695652173913	12	8	0
5316	44	2138	48.59090909090909	21	20	0
5843	10	777	77.7	0	10	0
1149	29	912	31.448275862068964	13	12	0
5774	14	508	36.285714285714285	4	9	0
6454	21	987	47.0	5	10	1
3397	21	859	40.904761904761905	5	12	0
5905	4	186	46.5	0	4	0
4812	8	226	28.25	1	7	0
4613	10	406	40.6	1	9	0
4864	34	1586	46.64705882352941	14	16	1
2095	59	1936	32.813559322033896	47	9	0
3806	42	2749	65.45238095238095	21	21	0
4776	23	1661	72.21739130434783	6	15	1
2848	30	2747	91.56666666666666	13	16	1
5372	11	615	55.90909090909091	1	7	2
4725	21	550	26.19047619047619	12	8	1
4829	34	2205	64.8529411764706	19	11	0
4835	21	1999	95.19047619047619	8	12	0
5704	64	3046	47.59375	45	14	1
5511	3	165	55.0	0	3	0
5835	26	1924	74.0	7	15	0
4916	21	2011	95.76190476190476	9	12	0
5705	8	505	63.125	2	6	0
244	71	5776	81.35211267605634	43	21	1
4677	26	1820	70.0	7	19	0
2074	114	6648	58.31578947368421	89	13	0
4524	5	79	15.8	0	4	0
6059	12	1785	148.75	2	10	0
5648	28	3851	137.53571428571428	11	15	0
4813	14	2022	144.42857142857142	4	9	0
3465	12	552	46.0	3	8	0
1174	18	577	32.05555555555556	7	11	0
1642	29	1595	55.0	10	17	1
6639	5	187	37.4	0	4	0
6643	6	153	25.5	2	4	0
3367	14	1336	95.42857142857143	1	12	0
5589	11	203	18.454545454545453	6	4	0
3153	92	5619	61.07608695652174	59	21	1
4726	21	831	39.57142857142857	5	14	1
4594	11	970	88.18181818181819	0	11	0
6694	10	429	42.9	2	8	0
2476	42	2344	55.80952380952381	16	19	4
5848	16	475	29.6875	5	8	0
4564	19	528	27.789473684210527	4	13	0
1708	42	2725	64.88095238095238	10	29	0
6568	14	777	55.5	4	8	0
6258	8	284	35.5	0	6	1
4614	31	1890	60.96774193548387	10	16	1
5020	14	556	39.714285714285715	1	11	0
4576	16	1463	91.4375	6	9	0
5738	34	2289	67.32352941176471	14	16	0
4494	16	1362	85.125	2	13	0
975	42	1917	45.642857142857146	24	16	1
6789	1	0	0.0	0	0	0
4935	21	1423	67.76190476190476	4	14	0
551	32	1690	52.8125	13	14	0
5739	11	445	40.45454545454545	2	8	0
5546	27	668	24.74074074074074	14	9	1
3070	41	1025	25.0	23	11	1
6836	92	6235	67.77173913043478	63	20	1
1150	58	2179	37.56896551724138	41	9	1
285	24	589	24.541666666666668	14	7	1
6140	46	4555	99.02173913043478	13	32	0
1151	27	2680	99.25925925925925	12	13	0
2551	46	4512	98.08695652173913	27	14	1
4528	3	100	33.333333333333336	0	3	0
3242	38	2239	58.921052631578945	19	14	0
6909	11	280	25.454545454545453	1	9	0
681	26	1041	40.03846153846154	7	15	1
1016	25	1493	59.72	2	21	0
4717	2	17	8.5	0	2	0
4650	7	225	32.142857142857146	1	5	0
4483	22	1144	52.0	9	11	0
245	46	2166	47.08695652173913	23	20	1
5707	37	2066	55.83783783783784	8	25	0
6980	94	8484	90.25531914893617	59	28	0
4678	20	1818	90.9	2	17	0
7116	23	1117	48.56521739130435	4	17	0
4517	21	418	19.904761904761905	9	8	0
7139	5	105	21.0	0	4	0
750	70	5031	71.87142857142857	43	21	0
4679	104	9677	93.04807692307692	74	23	0
5547	25	2204	88.16	6	17	0
4905	143	11867	82.98601398601399	121	18	0
5351	13	476	36.61538461538461	0	11	0
4525	19	384	20.210526315789473	8	7	1
6048	27	991	36.7037037037037	13	10	1
4865	16	1676	104.75	2	13	1
5606	15	376	25.066666666666666	3	9	0
1038	30	1233	41.1	14	14	2
3131	250	21245	84.98	213	13	0
5906	8	380	47.5	0	8	0
4651	41	1309	31.926829268292682	26	11	1
